ID,Kategorie,Charts (json)
1301,Kunst,Top 200 (de)
1402,    Design,Top 200 (de)
1459,    Mode und Schönheit,Top 200 (de)
1306,    Essen,Top 200 (de)
1405,    Darstellende Kunst,Top 200 (de)
1406,    Bildende Kunst,Top 200 (de)
1321,Wirtschaft,Top 200 (de)
1493,    Firmengründung,Top 200 (de)
1412,    Geldanlage,Top 200 (de)
1491,    Management,Top 200 (de)
1492,    Marketing,Top 200 (de)
1494,    Gemeinnützig,Top 200 (de)
1303,Comedy,Top 200 (de)
1495,    Impro-Comedy,Top 200 (de)
1497,    Stand-Up-Comedy,Top 200 (de)
1304,Bildung,Top 200 (de)
1499,    So geht’s,Top 200 (de)
1498,    Sprachen lernen,Top 200 (de)
1500,    Selbstverwirklichung,Top 200 (de)
1483,Fiktion,Top 200 (de)
1484,    Drama,Top 200 (de)
1485,    Science-Fiction,Top 200 (de)
1511,Regierung,Top 200 (de)
1512,Gesundheit und Fitness,Top 200 (de)
1514,    Fitness,Top 200 (de)
1518,    Medizin,Top 200 (de)
1517,    Mentale Gesundheit,Top 200 (de)
1515,    Ernährung,Top 200 (de)
1516,    Sexualität,Top 200 (de)
1487,Geschichte,Top 200 (de)
1305,Kinder und Familie,Top 200 (de)
1521,    Kindererziehung,Top 200 (de)
1522,    Haus- und Wildtiere,Top 200 (de)
1520,    Geschichten für Kids,Top 200 (de)
1502,Freizeit,Top 200 (de)
1503,    Rund ums Auto,Top 200 (de)
1504,    Luftfahrt,Top 200 (de)
1506,    Basteln,Top 200 (de)
1507,    Spiele,Top 200 (de)
1505,    Hobbys,Top 200 (de)
1508,    Heim und Garten,Top 200 (de)
1509,    Videospiele,Top 200 (de)
1310,Musik,Top 200 (de)
1524,    Musikgeschichte,Top 200 (de)
1525,    Musikinterviews,Top 200 (de)
1489,Nachrichten,Top 200 (de)
1526,    Nachrichten des Tages,Top 200 (de)
1531,    Aktuelles aus der Unterhaltung,Top 200 (de)
1530,    Kommentare,Top 200 (de)
1527,    Politik,Top 200 (de)
1529,    Sportnews,Top 200 (de)
1528,    Neues aus der Technik,Top 200 (de)
1314,Religion und Spiritualität,Top 200 (de)
1439,    Christentum,Top 200 (de)
1463,    Hinduismus,Top 200 (de)
1440,    Islam,Top 200 (de)
1441,    Judentum,Top 200 (de)
1532,    Religion,Top 200 (de)
1444,    Spiritualität,Top 200 (de)
1533,Wissenschaft,Top 200 (de)
1539,    Chemie,Top 200 (de)
1540,    Geowissenschaften,Top 200 (de)
1541,    Biowissenschaften,Top 200 (de)
1536,    Mathematik,Top 200 (de)
1534,    Naturwissenschaften,Top 200 (de)
1537,    Natur,Top 200 (de)
1542,    Physik,Top 200 (de)
1535,    Sozialwissenschaften,Top 200 (de)
1324,Gesellschaft und Kultur,Top 200 (de)
1302,    Tagebücher,Top 200 (de)
1443,    Philosophie,Top 200 (de)
1320,    Reisen und Orte,Top 200 (de)
1544,    Beziehungen,Top 200 (de)
1545,Sport,Top 200 (de)
1548,    Basketball,Top 200 (de)
1554,    Cricket,Top 200 (de)
1560,    Fantasy Sport,Top 200 (de)
1547,    Football,Top 200 (de)
1553,    Golf,Top 200 (de)
1550,    Eishockey,Top 200 (de)
1552,    Rugby,Top 200 (de)
1551,    Läufer,Top 200 (de)
1546,    Fußball,Top 200 (de)
1558,    Schwimmen,Top 200 (de)
1556,    Tennis,Top 200 (de)
1557,    Volleyball,Top 200 (de)
1559,    Abenteuer Natur,Top 200 (de)
1555,    Wrestling,Top 200 (de)
1309,TV und Film,Top 200 (de)
1564,    Filmgeschichte,Top 200 (de)
1565,    Filminterviews,Top 200 (de)
1563,    Filmrezensionen,Top 200 (de)
1561,    TV-Rezensionen,Top 200 (de)
1318,Technologie,Top 200 (de)
1488,Wahre Kriminalfälle,Top 200 (de)
